State,!,!=,$,&&,(,),*,+,-,/,;,<,<=,=,==,>,>=,[,],basic,break,do,else,false,id,if,num,real,true,while,{,||,},block,bool,decl,decls,equality,expr,factor,join,loc,program,program',rel,stmt,stmts,term,type,unary
109,s64,,,,s68,,,,s71,,,,,,,,,,,,,,,s67,s76,,s66,s70,s73,,,,,,,,,79,74,78,158,63,,,72,,,75,,69
110,,,,,,,,,,,,,,,,,,,,,s10,s14,,,s12,s16,,,,s15,s13,,,11,,,,,,,,9,,,,159,,,,
111,,,,,,s160,,,,,,,,,,,,,,,,,,,,,,,,,,s109,,,,,,,,,,,,,,,,,,
112,,r38,,r38,,r38,r38,r38,r38,r38,,r38,r38,,r38,r38,r38,,,,,,,,,,,,,,,r38,,,,,,,,,,,,,,,,,,
113,s162,,,,s165,,,,s168,,,,,,,,,,,,,,,s164,s172,,s163,s167,s169,,,,,,,,,,171,173,,161,,,,,,170,,166
114,s64,,,,s68,,,,s71,,,,,,,,,,,,,,,s67,s76,,s66,s70,s73,,,,,,,,,,,78,,63,,,,,,174,,69
115,s162,,,,s165,,,,s168,,,,,,,,,,,,,,,s164,s172,,s163,s167,s169,,,,,,,,,,175,173,,161,,,,,,170,,166
116,s64,,,,s68,,,,s71,,,,,,,,,,,,,,,s67,s76,,s66,s70,s73,,,,,,,,,,,78,,63,,,,,,176,,69
117,s162,,,,s165,,,,s168,,,,,,,,,,,,,,,s164,s172,,s163,s167,s169,,,,,,,,,,177,173,,161,,,,,,170,,166
118,s162,,,,s165,,,,s168,,,,,,,,,,,,,,,s164,s172,,s163,s167,s169,,,,,,,,,,178,173,,161,,,,,,170,,166
119,s64,,,,s68,,,,s71,,,,,,,,,,,,,,,s67,s76,,s66,s70,s73,,,,,,,,,,,78,,63,,,,,,,,179
120,s64,,,,s68,,,,s71,,,,,,,,,,,,,,,s67,s76,,s66,s70,s73,,,,,,,,,,,78,,63,,,,,,,,180
121,s64,,,,s68,,,,s71,,,,,,,,,,,,,,,s67,s76,,s66,s70,s73,,,,,,,,,181,74,78,,63,,,72,,,75,,69
122,s64,,,,s68,,,,s71,,,,,,,,,,,,,,,s67,s76,,s66,s70,s73,,,,,,,,,,74,78,,63,,,182,,,75,,69
123,s64,,,,s68,,,,s71,,,,,,,,,,,,,,,s67,s76,,s66,s70,s73,,,,,,,,,,74,78,,63,,,183,,,75,,69
124,,,,,,,,,,,,,,,,,,,,,s185,s188,,,s12,s190,,,,s189,s187,,,186,,,,,,,,184,,,,191,,,,
125,,,,,,,,,,,,,,,,,,,s192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,s97,,,,,,,r19,,,,,,,,,,,,,,,,,,,,,r19,,,,,,,,,,,,,,,,,,
127,,r40,,r40,,,r40,r40,r40,r40,r40,r40,r40,,r40,r40,r40,,,,,,,,,,,,,,,r40,,,,,,,,,,,,,,,,,,
128,,r41,,r41,,,r41,r41,r41,r41,r41,,,,r41,,,s193,,,,,,,,,,,,,,r41,,,,,,,,,,,,,,,,,,
129,s129,,,,s132,,,,s135,,,,,,,,,,,,,,,s131,s139,,s130,s134,s136,,,,,,,,,,,140,,128,,,,,,,,194
130,,r42,,r42,,,r42,r42,r42,r42,r42,,,,r42,,,,,,,,,,,,,,,,,r42,,,,,,,,,,,,,,,,,,
131,,r45,,r45,,,r45,r45,r45,r45,r45,,,,r45,,,,,,,,,,,,,,,,,r45,,,,,,,,,,,,,,,,,,
132,s64,,,,s68,,,,s71,,,,,,,,,,,,,,,s67,s76,,s66,s70,s73,,,,,,195,,,79,74,78,77,63,,,72,,,75,,69
133,,r36,,r36,,,r36,r36,r36,r36,r36,,,,r36,,,,,,,,,,,,,,,,,r36,,,,,,,,,,,,,,,,,,
134,,r43,,r43,,,r43,r43,r43,r43,r43,,,,r43,,,,,,,,,,,,,,,,,r43,,,,,,,,,,,,,,,,,,
135,s129,,,,s132,,,,s135,,,,,,,,,,,,,,,s131,s139,,s130,s134,s136,,,,,,,,,,,140,,128,,,,,,,,196
136,,r44,,r44,,,r44,r44,r44,r44,r44,,,,r44,,,,,,,,,,,,,,,,,r44,,,,,,,,,,,,,,,,,,
137,,r33,,r33,,,s197,r33,r33,s198,r33,,,,r33,,,,,,,,,,,,,,,,,r33,,,,,,,,,,,,,,,,,,
138,,r27,,r27,,,,s199,s200,,r27,,,,r27,,,,,,,,,,,,,,,,,r27,,,,,,,,,,,,,,,,,,
